store_number,slug,url,location_name,status,address_line1,city,county,state,region,postal_code,country_code,latitude,longitude,time_zone,format,total_building_area_sqft,main_voice_phone_number,country_uk,itl1_code,itl1_name,lad_code,lad_name,msoa_code,msoa_name,lsoa_code,lsoa_name,coord_source,geo_source,overture_id,confidence
ovt:ae5a8d22-f038-464f-98ff-841120aeaf78,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Booker Bournemouth,open,"Yeomans Industrial Park, Yeomans Way",Bournemouth,,,South West,BH8 0BJ,GB,50.75459601,-1.84028928,Europe/London,Booker,,01202533697,England,E12000009,South West,E06000058,"Bournemouth, Christchurch and Poole",E02003179,"Bournemouth, Christchurch and Poole 012",E01015338,"Bournemouth, Christchurch and Poole 012A",overture,postcodes.io,ae5a8d22-f038-464f-98ff-841120aeaf78,0.9425
ovt:7692e9af-b32e-4364-bff8-3a9cec334548,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Booker Farnworth,open,"Express Trading Estate, Stone Hill Rd",Bolton,,,North West,BL4 9TP,GB,53.53949616,-2.39471889,Europe/London,Booker,,01204701717,England,E12000002,North West,E08000001,Bolton,E02001015,Bolton 032,E01004902,Bolton 032D,overture,postcodes.io,7692e9af-b32e-4364-bff8-3a9cec334548,0.9973
ovt:8c6ab742-fb0b-48e6-b6af-efdb64c18f3c,,https://www.booker.co.uk/branch-locator/bolton/express-trading-estate,Booker Farnworth,open,"Express Trading Estate, Stonehill Road",Bolton,,,North West,BL4 9TP,GB,53.5408318,-2.3943774,Europe/London,Booker,,,England,E12000002,North West,E08000001,Bolton,E02001015,Bolton 032,E01004902,Bolton 032D,overture,postcodes.io,8c6ab742-fb0b-48e6-b6af-efdb64c18f3c,0.4000
ovt:63b2ca20-5366-4e37-8b7a-440da6984f6e,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Booker Worthing,open,"Broadwater Trading Estate, Southdownview Rd",Worthing,West Sussex,,South East,BN14 8NT,GB,50.82774029,-0.35985421,Europe/London,Booker,,01903235451,England,E12000008,South East,E07000229,Worthing,E02006625,Worthing 005,E01031781,Worthing 005D,overture,postcodes.io,63b2ca20-5366-4e37-8b7a-440da6984f6e,0.9990
ovt:acfb34a6-ebcf-4c36-b41a-e8e000955950,,https://www.booker.co.uk,Booker Brighton,open,Moulsecoomb Way,Brighton,,,South East,BN2 4NP,GB,50.85294112,-0.10635704,Europe/London,Booker,,01273624242,England,E12000008,South East,E06000043,Brighton and Hove,E02003499,Brighton and Hove 009,E01016908,Brighton and Hove 009C,overture,postcodes.io,acfb34a6-ebcf-4c36-b41a-e8e000955950,0.9953
ovt:5edca638-71cb-4179-8eb9-7a9e254d758e,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Makro Bristol,open,Lysander Rd,Bristol,,,South West,BS10 7TZ,GB,51.52511063,-2.60844547,Europe/London,Makro,,01179581221,England,E12000009,South West,E06000025,South Gloucestershire,E02003094,South Gloucestershire 005,E01014861,South Gloucestershire 005A,overture,postcodes.io,5edca638-71cb-4179-8eb9-7a9e254d758e,0.9951
ovt:38dafc70-2672-43e6-955e-64851936cf51,,https://www.booker.co.uk/branch-locator/bristol/lysander-road,Makro Bristol,open,"Lysander Road, Westbury On Trym",Bristol,,,South West,BS10 7TZ,GB,51.5241915,-2.6095479,Europe/London,Makro,,,England,E12000009,South West,E06000025,South Gloucestershire,E02003094,South Gloucestershire 005,E01014861,South Gloucestershire 005A,overture,postcodes.io,38dafc70-2672-43e6-955e-64851936cf51,0.4000
ovt:10976282-5536-4091-9832-e7f68dcdecb5,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Booker Avonmouth,open,"Avonmouth Industrial Estate, Avonmouth Way",Bristol,,,South West,BS11 9YB,GB,51.5021336,-2.68803902,Europe/London,Booker,,01179825551,England,E12000009,South West,E06000023,"Bristol, City of",E02003019,Bristol 008,E01014499,Bristol 008F,overture,postcodes.io,10976282-5536-4091-9832-e7f68dcdecb5,0.8977
ovt:cfeb78b2-d7ed-481d-8657-846321833555,,http://www.booker.co.uk,Booker Weston-Super-Mare,open,Searle Cres,Weston-super-Mare,,,South West,BS23 3YX,GB,51.34220621,-2.95827724,Europe/London,Booker,,01934636230,England,E12000009,South West,E06000024,North Somerset,E02003084,North Somerset 020,E01014809,North Somerset 020E,overture,postcodes.io,cfeb78b2-d7ed-481d-8657-846321833555,0.9863
ovt:f4cb7219-82f0-4e54-888f-97d26c95e466,,https://www.booker.co.uk,Booker Bristol,open,Whitefield Rd,Bristol,,,South West,BS5 7TJ,GB,51.46878111,-2.53422456,Europe/London,Booker,,01179679234,England,E12000009,South West,E06000023,"Bristol, City of",E02003032,Bristol 021,E01014626,Bristol 021C,overture,postcodes.io,f4cb7219-82f0-4e54-888f-97d26c95e466,0.9916
ovt:6a1c3242-0ba6-4ea9-86f6-5864165b5001,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Makro Belfast,open,99 Kingsway,Belfast,,,Northern Ireland,BT17 9NU,GB,54.55563118,-5.99799058,Europe/London,Makro,,02890609021,Northern Ireland,N92000002,Northern Ireland,N09000003,Belfast,N99999999,,N21000294,Collin_J,overture,postcodes.io,6a1c3242-0ba6-4ea9-86f6-5864165b5001,0.9986
ovt:25089038-e1f8-42ee-b303-ee6ecd9b95cc,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Booker Workington,open,Clay Flatts Trading Estate,Workington,,,North West,CA14 2TQ,GB,54.64020734,-3.55984303,Europe/London,Booker,,01900602471,England,E12000002,North West,E06000063,Cumberland,E02003973,Allerdale 009,E01019120,Allerdale 009D,overture,postcodes.io,25089038-e1f8-42ee-b303-ee6ecd9b95cc,0.9918
ovt:c249d760-04d3-48cf-a0b3-d2b7fd987575,,https://www.booker.co.uk,Booker Carlisle,open,"Newtown Industrial Estate, Burgh Rd",Carlisle,,,North West,CA2 7NA,GB,54.89862998,-2.9751142,Europe/London,Booker,,01228317911,England,E12000002,North West,E06000063,Cumberland,E02003991,Carlisle 005,E01019195,Carlisle 005B,overture,postcodes.io,c249d760-04d3-48cf-a0b3-d2b7fd987575,0.9795
