store_number,slug,url,location_name,status,address_line1,city,county,state,region,postal_code,country_code,latitude,longitude,time_zone,format,total_building_area_sqft,main_voice_phone_number,state_fips,county_fips,tract_fips,block_fips,cbsa_fips,csa_fips,coord_source,fips_source
l006,,https://www.aldi.us/stores/l/mi/comstock-park/4101-alpine-avenue-nw/l006,ALDI 4101 Alpine Avenue NW,open,4101 Alpine Avenue NW,Comstock Park,,Michigan,MI,49321,US,43.0385,-85.6906,America/Detroit,,,,26,26081,26081011403,260810114032011,24340,266,ceo,census
f559,,https://www.aldi.us/stores/l/oh/new-albany/9895-johnstown-rd/f559,ALDI 9895 Johnstown Rd,open,9895 Johnstown Rd,New Albany,,Ohio,OH,43054,US,40.0922,-82.7935,America/New_York,,,,39,39049,39049007213,390490072132007,18140,198,ceo,census
l007,,https://www.aldi.us/stores/l/mi/holland/571-e-24th-street/l007,ALDI 571 E 24th Street,open,571 E 24th Street,Holland,,Michigan,MI,49423,US,42.7764,-86.0816,America/Detroit,,,,26,26139,26139025700,261390257004000,24340,266,ceo,census
fa30,,https://www.aldi.us/stores/l/fl/miramar/12255-miramar-parkway/fa30,ALDI 12255 Miramar Parkway,open,12255 Miramar Parkway,Miramar,,Florida,FL,33025,US,25.9794,-80.3094,America/New_York,,,,12,12011,12011110348,120111103481002,33100,370,ceo,census
l765,,https://www.aldi.us/stores/l/fl/bradenton/8580-heritage-green-way/l765,ALDI 8580 Heritage Green Way,open,8580 Heritage Green Way,Bradenton,,Florida,FL,34212,US,27.4865,-82.4574,America/New_York,,,,12,12081,12081002025,120810020253017,35840,412,ceo,fcc
l008,,https://www.aldi.us/stores/l/mi/jenison/302-chicago-drive/l008,ALDI 302 Chicago Drive,open,302 Chicago Drive,Jenison,,Michigan,MI,49428,US,42.9031,-85.7899,America/Detroit,,,,26,26139,26139021502,261390215021001,24340,266,ceo,fcc
f420,,https://www.aldi.us/stores/l/nj/brick/780-route-70/f420,ALDI 780 Route 70,open,780 Route 70,Brick,,New Jersey,NJ,08723,US,40.065,-74.136,America/New_York,,,,34,34029,34029713402,340297134021018,35620,408,ceo,census
l009,,https://www.aldi.us/stores/l/mi/ionia/3065-s-state-rd/l009,ALDI 3065 S State Rd,open,3065 S State Rd,Ionia,,Michigan,MI,48846,US,42.9423,-85.0741,America/Detroit,,,,26,26067,26067031900,260670319004019,24340,266,ceo,census
f794,,https://www.aldi.us/stores/l/wi/weston/3311-schofield-avenue/f794,ALDI 3311 Schofield Avenue,open,3311 Schofield Avenue,Weston,,Wisconsin,WI,54476,US,44.9044,-89.5818,America/Chicago,,,,55,55073,55073001104,550730011043003,48140,554,ceo,census
l544,,https://www.aldi.us/stores/l/ia/sioux-city/5001-sergeant-road-ste-140/l544,ALDI 5001 Sergeant Road Ste 140,open,5001 Sergeant Road Ste 140,Sioux City,,Iowa,IA,51106,US,42.4477,-96.3402,America/Chicago,,,,19,19193,19193002101,191930021013020,43580,512,ceo,fcc
l010,,https://www.aldi.us/stores/l/mi/grand-rapids/5114-28th-st-se-ste-b/l010,ALDI 5114 28th St SE STE B,open,5114 28th St SE STE B,Grand Rapids,,Michigan,MI,49512,US,42.9111,-85.5401,America/Detroit,,,,26,26081,26081012203,260810122031007,24340,266,ceo,census
l011,,https://www.aldi.us/stores/l/mi/grand-rapids/3101-knapp-st-ne/l011,ALDI 3101 Knapp St. NE,open,3101 Knapp St. NE,Grand Rapids,,Michigan,MI,49525,US,42.9996,-85.5931,America/Detroit,,,,26,26081,26081011801,260810118013009,24340,266,ceo,census
fe11,,https://www.aldi.us/stores/l/al/fairhope/10101-county-rd-48/fe11,ALDI 10101 County Rd 48,open,10101 County Rd 48,Fairhope,,Alabama,AL,36532,US,30.524,-87.8515,America/Chicago,,,,01,01003,01003011103,010030111031074,19300,380,ceo,census
f257,,https://www.aldi.us/stores/l/ok/broken-arrow/525-w-tucson-st/f257,ALDI 525 W Tucson St,open,525 W Tucson St,Broken Arrow,,Oklahoma,OK,74011,US,35.9885,-95.7977,America/Chicago,,,,40,40143,40143007522,401430075221015,46140,538,ceo,fcc
